point_id,mileage,zone,session,date,increment_mm,rate,cumulative_mm,replicate,cum_recon,single_lag_1,cum_lag_1,single_lag_2,cum_lag_2,single_lag_3,cum_lag_3,single_lag_4,cum_lag_4,single_lag_5,cum_lag_5,roll_mean_3,roll_std_3,diff_1,days_next,days_prev,timestep,has_goaf,seam_thickness_m,mining_depth_m,depth_thickness_ratio,dip_angle_deg,recovery_rate,years_since_abandonment,room_width_m,pillar_width_m,grouting,mining_method,overburden_lithology,coal_mine,stability_class,geo_note
C1,K21+100,K21,6,2022-05-31,1.1,0.03,2.7,1,2.8000000000000003,1.0,1.7000000000000002,0.3,0.7000000000000002,-1.2,0.40000000000000013,0.3,1.6,1.3,1.3,0.03333333333333336,1.1239810200058244,0.7,34.0,21.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,none,outside Wanghe mine boundary (mine starts at K21+240)
C1,K21+100,K21,7,2022-06-24,-0.8,-0.03,2.0,1,2.0,1.1,2.8000000000000003,1.0,1.7000000000000002,0.3,0.7000000000000002,-1.2,0.40000000000000013,0.3,1.6,0.8000000000000002,0.4358898943540674,0.10000000000000009,24.0,34.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,none,outside Wanghe mine boundary (mine starts at K21+240)
C1,K21+100,K21,8,2022-07-16,1.2,0.05,3.2,1,3.2,-0.8,2.0,1.1,2.8000000000000003,1.0,1.7000000000000002,0.3,0.7000000000000002,-1.2,0.40000000000000013,0.4333333333333334,1.0692676621563628,-1.9000000000000001,22.0,24.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,none,outside Wanghe mine boundary (mine starts at K21+240)
C10,K22+000,K22,6,2022-05-31,2.3,0.07,3.3,1,3.3999999999999995,1.3,1.0999999999999999,-2.4,-0.20000000000000018,-1.1,2.1999999999999997,1.4,3.3,1.9,1.9,-0.7333333333333334,1.8770544300401453,3.7,34.0,21.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,Wanghe,none,outside goaf segments; no goaf beneath the route
C10,K22+000,K22,7,2022-06-24,-0.8,-0.03,2.5,1,2.5999999999999996,2.3,3.3999999999999995,1.3,1.0999999999999999,-2.4,-0.20000000000000018,-1.1,2.1999999999999997,1.4,3.3,0.3999999999999999,2.4758836806279896,0.9999999999999998,24.0,34.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,Wanghe,none,outside goaf segments; no goaf beneath the route
C10,K22+000,K22,8,2022-07-16,-1.1,-0.05,1.4,1,1.4999999999999993,-0.8,2.5999999999999996,2.3,3.3999999999999995,1.3,1.0999999999999999,-2.4,-0.20000000000000018,-1.1,2.1999999999999997,0.9333333333333332,1.582192571507443,-3.0999999999999996,22.0,24.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,Wanghe,none,outside goaf segments; no goaf beneath the route
C11,K22+050,K22,6,2022-05-31,1.9,0.06,-1.5,1,-1.5,-1.9,-3.4,-2.2,-1.5,-2.1,0.7000000000000002,2.2,2.8000000000000003,0.6,0.6,-2.066666666666667,0.1527525231651904,0.30000000000000027,34.0,21.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,Wanghe,none,outside goaf segments; no goaf beneath the route; dual-mileage point (ramp mileage belongs to Segment 1)
C11,K22+050,K22,7,2022-06-24,-1.8,-0.08,-3.4,1,-3.3,1.9,-1.5,-1.9,-3.4,-2.2,-1.5,-2.1,0.7000000000000002,2.2,2.8000000000000003,-0.7333333333333334,2.2854612955229263,3.8,24.0,34.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,Wanghe,none,outside goaf segments; no goaf beneath the route; dual-mileage point (ramp mileage belongs to Segment 1)
C11,K22+050,K22,8,2022-07-16,-1.1,-0.05,-4.5,1,-4.4,-1.8,-3.3,1.9,-1.5,-1.9,-3.4,-2.2,-1.5,-2.1,0.7000000000000002,-0.6,2.1656407827707715,-3.7,22.0,24.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,Wanghe,none,outside goaf segments; no goaf beneath the route; dual-mileage point (ramp mileage belongs to Segment 1)
C12,K22+150,K22,6,2022-05-31,1.5,0.04,0.6,1,0.5000000000000003,-1.4,-0.9999999999999997,0.1,0.40000000000000024,-1.2,0.30000000000000027,0.4,1.5,1.1,1.1,-0.8333333333333334,0.8144527815247076,-1.5,34.0,21.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,Wanghe,none,outside goaf segments; no goaf beneath the route; dual-mileage point (ramp mileage belongs to Segment 1)
