point_id,mileage,zone,session,date,increment_mm,rate,cumulative_mm,replicate
C1,K21+100,K21,1,2021-12-10,1.3,0.05,1.3,1
C1,K21+100,K21,2,2022-02-18,0.3,0.0,1.6,1
C1,K21+100,K21,3,2022-03-08,-1.2,-0.07,0.4,1
C1,K21+100,K21,4,2022-04-06,0.3,0.01,0.7,1
C1,K21+100,K21,5,2022-04-27,1.0,0.05,1.7,1
C1,K21+100,K21,6,2022-05-31,1.1,0.03,2.7,1
C1,K21+100,K21,7,2022-06-24,-0.8,-0.03,2.0,1
C1,K21+100,K21,8,2022-07-16,1.2,0.05,3.2,1
C10,K22+000,K22,1,2021-12-10,1.9,0.07,1.9,1
C10,K22+000,K22,2,2022-02-18,1.4,0.02,3.3,1
C10,K22+000,K22,3,2022-03-08,-1.1,-0.06,2.2,1
C10,K22+000,K22,4,2022-04-06,-2.4,-0.08,-0.2,1
C10,K22+000,K22,5,2022-04-27,1.3,0.06,1.0,1
C10,K22+000,K22,6,2022-05-31,2.3,0.07,3.3,1
C10,K22+000,K22,7,2022-06-24,-0.8,-0.03,2.5,1
C10,K22+000,K22,8,2022-07-16,-1.1,-0.05,1.4,1
C11,K22+050,K22,1,2021-12-10,0.6,0.02,0.6,1
C11,K22+050,K22,2,2022-02-18,2.2,0.03,2.7,1
C11,K22+050,K22,3,2022-03-08,-2.1,-0.11,0.7,1
C11,K22+050,K22,4,2022-04-06,-2.2,-0.08,-1.5,1
C11,K22+050,K22,5,2022-04-27,-1.9,-0.09,-3.4,1
C11,K22+050,K22,6,2022-05-31,1.9,0.06,-1.5,1
C11,K22+050,K22,7,2022-06-24,-1.8,-0.08,-3.4,1
C11,K22+050,K22,8,2022-07-16,-1.1,-0.05,-4.5,1
C12,K22+150,K22,1,2021-12-10,1.1,0.04,1.1,1
C12,K22+150,K22,2,2022-02-18,0.4,0.01,1.5,1
C12,K22+150,K22,3,2022-03-08,-1.2,-0.07,0.3,1
C12,K22+150,K22,4,2022-04-06,0.1,0.0,0.4,1
C12,K22+150,K22,5,2022-04-27,-1.4,-0.06,-0.9,1
C12,K22+150,K22,6,2022-05-31,1.5,0.04,0.6,1
C12,K22+150,K22,7,2022-06-24,-0.4,-0.02,0.1,1
C12,K22+150,K22,8,2022-07-16,-1.2,-0.05,-1.1,1
C13,K22+080,K22,1,2021-12-10,1.4,0.05,1.4,1
C13,K22+080,K22,2,2022-02-18,1.1,0.02,2.5,1
C13,K22+080,K22,3,2022-03-08,-1.0,-0.06,1.5,1
C13,K22+080,K22,4,2022-04-06,0.5,0.02,2.0,1
C13,K22+080,K22,5,2022-04-27,-1.1,-0.05,0.9,1
C13,K22+080,K22,6,2022-05-31,1.5,0.05,2.5,1
C13,K22+080,K22,7,2022-06-24,1.8,0.08,4.3,1
C13,K22+080,K22,8,2022-07-16,-1.1,-0.05,3.1,1
C14,K22+080,K22,1,2021-12-10,1.4,0.05,1.4,1
C14,K22+080,K22,2,2022-02-18,4.4,0.06,5.8,1
C14,K22+080,K22,3,2022-03-08,-1.1,-0.06,4.7,1
C14,K22+080,K22,4,2022-04-06,2.0,0.07,6.8,1
C14,K22+080,K22,5,2022-04-27,-1.4,-0.07,5.4,1
C14,K22+080,K22,6,2022-05-31,-2.6,-0.08,2.8,1
C14,K22+080,K22,7,2022-06-24,0.3,0.01,3.1,1
C14,K22+080,K22,8,2022-07-16,-0.5,-0.02,2.6,1
C15,K22+050,K22,1,2021-12-10,0.0,0.0,0.0,1
C15,K22+050,K22,2,2022-02-18,1.5,0.02,1.5,1
C15,K22+050,K22,3,2022-03-08,-0.9,-0.05,0.6,1
C15,K22+050,K22,4,2022-04-06,1.0,0.03,1.6,1
C15,K22+050,K22,5,2022-04-27,-0.6,-0.03,1.0,1
C15,K22+050,K22,6,2022-05-31,-0.1,0.0,0.9,1
C15,K22+050,K22,7,2022-06-24,0.7,0.03,1.5,1
C15,K22+050,K22,8,2022-07-16,0.5,0.02,2.0,1
C16,K22+200,K22,1,2021-12-10,-0.1,0.0,-0.1,1
C16,K22+200,K22,2,2022-02-18,1.6,0.02,1.5,1
C16,K22+200,K22,3,2022-03-08,-1.1,-0.06,0.4,1
C16,K22+200,K22,4,2022-04-06,0.0,0.0,0.4,1
C16,K22+200,K22,5,2022-04-27,-1.0,-0.05,-0.6,1
C16,K22+200,K22,6,2022-05-31,-2.0,-0.06,-2.7,1
C16,K22+200,K22,7,2022-06-24,-1.2,-0.05,-3.9,1
C16,K22+200,K22,8,2022-07-16,0.7,0.03,-3.2,1
C17,K22+230,K22,1,2021-12-10,1.4,0.05,1.4,1
C17,K22+230,K22,2,2022-02-18,-0.8,-0.01,0.6,1
C17,K22+230,K22,3,2022-03-08,-1.1,-0.06,-0.5,1
C17,K22+230,K22,4,2022-04-06,1.9,0.06,1.4,1
C17,K22+230,K22,5,2022-04-27,-1.0,-0.05,0.4,1
C17,K22+230,K22,6,2022-05-31,1.5,0.04,1.9,1
C17,K22+230,K22,7,2022-06-24,1.8,0.07,3.7,1
C17,K22+230,K22,8,2022-07-16,-1.4,-0.06,2.3,1
C18,K22+280,K22,1,2021-12-10,3.0,0.11,3.0,1
C18,K22+280,K22,2,2022-02-18,0.1,0.0,3.2,1
C18,K22+280,K22,3,2022-03-08,-1.0,-0.06,2.2,1
C18,K22+280,K22,4,2022-04-06,1.3,0.04,3.4,1
C18,K22+280,K22,5,2022-04-27,-0.7,-0.03,2.8,1
C18,K22+280,K22,6,2022-05-31,-0.9,-0.03,1.9,1
C18,K22+280,K22,7,2022-06-24,-1.7,-0.07,0.2,1
C18,K22+280,K22,8,2022-07-16,-1.7,-0.08,-1.5,1
C19,K22+320,K22,1,2021-12-10,2.3,0.08,2.3,1
C19,K22+320,K22,2,2022-02-18,0.7,0.01,3.0,1
C19,K22+320,K22,3,2022-03-08,-0.9,-0.05,2.1,1
C19,K22+320,K22,4,2022-04-06,1.6,0.05,3.7,1
C19,K22+320,K22,5,2022-04-27,-0.3,-0.02,3.3,1
C19,K22+320,K22,6,2022-05-31,2.3,0.07,5.6,1
C19,K22+320,K22,7,2022-06-24,-1.3,-0.05,4.3,1
C19,K22+320,K22,8,2022-07-16,-1.3,-0.06,3.0,1
C2,K21+155,K21,1,2021-12-10,1.2,0.04,1.2,1
C2,K21+155,K21,2,2022-02-18,1.6,0.02,2.8,1
C2,K21+155,K21,3,2022-03-08,-1.1,-0.06,1.7,1
C2,K21+155,K21,4,2022-04-06,-0.2,-0.01,1.4,1
