source_table,mainline_mileage,interchange_mileage,point_id,date_str,increment_mm,rate_mm_d,cumulative_mm
Table 1,K21+100,,C1,2021.12.10,1.3,0.05,1.3
Table 1,K21+100,,C1,2022.2.18,0.3,0.0,1.6
Table 1,K21+155,,C2,2021.12.10,1.2,0.04,1.2
Table 1,K21+155,,C2,2022.2.18,1.6,0.02,2.8
Table 1,K21+155,,C3,2021.12.10,1.1,0.04,1.1
Table 1,K21+155,,C3,2022.2.18,0.9,0.01,2.0
Table 1,K21+400,,C4,2021.12.10,-1.4,-0.05,-1.4
Table 1,K21+400,,C4,2022.2.18,2.1,0.03,0.7
Table 1,K21+470,,C5,2021.12.10,-0.9,-0.03,-0.9
Table 1,K21+470,,C5,2022.2.18,0.7,0.01,-0.2
Table 1,K21+470,,C6,2021.12.10,1.1,0.04,1.1
Table 1,K21+470,,C6,2022.2.18,3.1,0.04,4.2
Table 1,K21+845,,C7,2021.12.10,-2.1,-0.08,-2.1
Table 1,K21+845,,C7,2022.2.18,3.2,0.05,1.2
Table 1,K21+885,,C8,2021.12.10,0.6,0.02,0.6
Table 1,K21+885,,C8,2022.2.18,4.2,0.06,4.8
Table 1,K21+935,,C9,2021.12.10,-0.8,-0.03,-0.8
Table 1,K21+935,,C9,2022.2.18,4.1,0.06,3.3
Table 1,K22+000,,C10,2021.12.10,1.9,0.07,1.9
Table 1,K22+000,,C10,2022.2.18,1.4,0.02,3.3
Table 1,K22+050,EK0+220,C11,2021.12.10,0.6,0.02,0.6
Table 1,K22+050,EK0+220,C11,2022.2.18,2.2,0.03,2.7
Table 1,K22+150,EK0+240,C12,2021.12.10,1.1,0.04,1.1
Table 1,K22+150,EK0+240,C12,2022.2.18,0.4,0.01,1.5
Table 1,K22+080,AK0+310,C13,2021.12.10,1.4,0.05,1.4
Table 1,K22+080,AK0+310,C13,2022.2.18,1.1,0.02,2.5
Table 1,K22+080,AK1+485,C14,2021.12.10,1.4,0.05,1.4
Table 1,K22+080,AK1+485,C14,2022.2.18,4.4,0.06,5.8
Table 1,K22+050,,C15,2021.12.10,0.0,0.0,0.0
Table 1,K22+050,,C15,2022.2.18,1.5,0.02,1.5
Table 1,K22+200,,C16,2021.12.10,-0.1,0.0,-0.1
Table 1,K22+200,,C16,2022.2.18,1.6,0.02,1.5
Table 1,K22+230,AK1+320,C17,2021.12.10,1.4,0.05,1.4
Table 1,K22+230,AK1+320,C17,2022.2.18,-0.8,-0.01,0.6
Table 1,K22+280,,C18,2021.12.10,3.0,0.11,3.0
Table 1,K22+280,,C18,2022.2.18,0.1,0.0,3.2
Table 1,K22+320,,C19,2021.12.10,2.3,0.08,2.3
Table 1,K22+320,,C19,2022.2.18,0.7,0.01,3.0
Table 1,K22+320,HK1+005,C20,2021.12.10,3.7,0.14,3.7
Table 1,K22+320,HK1+005,C20,2022.2.18,-0.1,0.0,3.6
Table 1,,HK1+110,C21,2021.12.10,-1.2,-0.04,-1.2
Table 1,,HK1+110,C21,2022.2.18,1.6,0.02,0.4
Table 1,,AK1+105,C22,2021.12.10,-1.5,-0.06,-1.5
Table 1,,AK1+105,C22,2022.2.18,1.3,0.02,-0.2
Table 1,,HK1+205,C23,2021.12.10,3.6,0.13,3.6
Table 1,,HK1+205,C23,2022.2.18,1.0,0.01,4.6
Table 1,JPK20+790,,C24,2021.12.10,2.6,0.09,2.6
Table 1,JPK20+790,,C24,2022.2.18,1.9,0.03,4.5
Table 1,JPK20+850,,C25,2021.12.10,3.0,0.11,3.0
Table 1,JPK20+850,,C25,2022.2.18,1.7,0.02,4.7
Table 1,JPK20+890,,C26,2021.12.10,2.1,0.08,2.1
Table 1,JPK20+890,,C26,2022.2.18,2.7,0.04,4.8
Table 1,JPK20+920,CK0+620,C27,2021.12.10,3.0,0.11,3.0
Table 1,JPK20+920,CK0+620,C27,2022.2.18,3.2,0.05,6.2
Table 1,JPK21+060,CK0+670,C28,2021.12.10,3.0,0.11,3.0
Table 1,JPK21+060,CK0+670,C28,2022.2.18,2.7,0.04,5.7
Table 1,JPK21+010,,C29,2021.12.10,2.6,0.1,2.6
Table 1,JPK21+010,,C29,2022.2.18,2.7,0.04,5.3
Table 1,JPK21+060,DK0+170,C30,2021.12.10,4.0,0.15,4.0
Table 1,JPK21+060,DK0+170,C30,2022.2.18,-1.1,-0.02,2.9
Table 1,JPK21+060,,C31,2021.12.10,1.8,0.07,1.8
Table 1,JPK21+060,,C31,2022.2.18,3.1,0.04,4.9
Table 1,JPK21+140,,C32,2021.12.10,1.8,0.07,1.8
Table 1,JPK21+140,,C32,2022.2.18,1.3,0.02,3.2
Table 1,JPK21+180,,C33,2021.12.10,1.4,0.05,1.4
Table 1,JPK21+180,,C33,2022.2.18,-0.1,0.0,1.3
Table 1,JPK21+220,,C34,2021.12.10,2.5,0.09,2.5
Table 1,JPK21+220,,C34,2022.2.18,-1.1,-0.02,1.5
Table 1,,CK0+560,C35,2021.12.10,3.3,0.12,3.3
Table 1,,CK0+560,C35,2022.2.18,3.3,0.05,6.6
Table 1,,CK0+370,C36,2021.12.10,0.8,0.03,0.8
Table 1,,CK0+370,C36,2022.2.18,3.0,0.04,3.8
Table 1,,CK0+290,C37,2021.12.10,1.1,0.04,1.1
Table 1,,CK0+290,C37,2022.2.18,2.9,0.04,4.0
Table 1,K22+890,,C38,2021.12.10,0.9,0.04,0.9
Table 1,K22+890,,C38,2022.2.18,0.1,0.0,1.1
Table 1,K23+000,,C39,2021.12.10,0.9,0.04,0.9
Table 1,K23+000,,C39,2022.2.18,1.7,0.02,2.6
Table 1,K23+050,,C40,2021.12.10,1.0,0.04,1.0
Table 1,K23+050,,C40,2022.2.18,-0.3,0.0,0.6
Table 1,K23+080,,C41,2021.12.10,0.7,0.03,0.7
Table 1,K23+080,,C41,2022.2.18,-0.7,-0.01,0.1
Table 1,K23+120,,C42,2021.12.10,0.8,0.03,0.8
Table 1,K23+120,,C42,2022.2.18,-4.4,-0.06,-3.6
Table 1,K23+190,,C43,2021.12.10,1.5,0.06,1.5
Table 1,K23+190,,C43,2022.2.18,-3.9,-0.06,-2.4
Table 1,K23+260,,C44,2021.12.10,0.8,0.03,0.8
Table 1,K23+260,,C44,2022.2.18,0.5,0.01,1.3
Table 1,K23+320,,C45,2021.12.10,0.4,0.02,0.4
Table 1,K23+320,,C45,2022.2.18,0.1,0.0,0.5
Table 1,K23+400,,C46,2021.12.10,-1.2,-0.05,-1.2
Table 1,K23+400,,C46,2022.2.18,-0.3,0.0,-1.5
Table 1,K23+450,,C47,2021.12.10,0.3,0.01,0.3
Table 1,K23+450,,C47,2022.2.18,1.8,0.03,2.0
Table 1,K23+500,,C48,2021.12.10,0.6,0.02,0.6
Table 1,K23+500,,C48,2022.2.18,0.7,0.01,1.3
Table 1,K22+840,,C49,2021.12.10,-1.2,-0.04,-1.2
Table 1,K22+840,,C49,2022.2.18,-0.2,0.0,-1.4
Table 1,K22+800,,C50,2021.12.10,1.4,0.05,1.4
Table 1,K22+800,,C50,2022.2.18,0.0,0.0,1.4
Table 1,K22+790,,C51,2021.12.10,-0.1,0.0,-0.1
Table 1,K22+790,,C51,2022.2.18,-0.4,-0.01,-0.5
Table 1,K22+750,BK0+270,C52,2021.12.10,0.0,0.0,0.0
Table 1,K22+750,BK0+270,C52,2022.2.18,0.3,0.0,0.3
Table 1,K22+750,,C53,2021.12.10,-0.8,-0.03,-0.8
Table 1,K22+750,,C53,2022.2.18,-0.1,0.0,-0.9
Table 1,K22+590,,C54,2021.12.10,-1.5,-0.05,-1.5
Table 1,K22+590,,C54,2022.2.18,2.8,0.04,1.3
Table 1,JPK20+650,,C55,2021.12.10,1.1,0.04,1.1
Table 1,JPK20+650,,C55,2022.2.18,2.1,0.03,3.3
Table 1,K22+520,,C56,2021.12.10,1.2,0.05,1.2
Table 1,K22+520,,C56,2022.2.18,1.9,0.03,3.1
Table 1,K22+450,,C57,2021.12.10,1.3,0.05,1.3
Table 1,K22+450,,C57,2022.2.18,0.8,0.01,2.1
Table 1,K22+400,,C58,2021.12.10,4.2,0.16,4.2
Table 1,K22+400,,C58,2022.2.18,0.2,0.0,4.4
Table 1,K22+400,,C59,2021.12.10,4.5,0.17,4.5
Table 1,K22+400,,C59,2022.2.18,-0.3,0.0,4.2
Table 1,K22+320,GK0+350,C60,2021.12.10,3.4,0.13,3.4
Table 1,K22+320,GK0+350,C60,2022.2.18,0.5,0.01,3.9
Table 1,,GK0+220,C61,2021.12.10,3.2,0.12,3.2
Table 1,,GK0+220,C61,2022.2.18,0.8,0.01,4.0
Table 1,,GK0+180,C62,2021.12.10,3.1,0.11,3.1
Table 1,,GK0+180,C62,2022.2.18,0.7,0.01,3.8
Table 1,JPK20+080,EK0+670,C63,2021.12.10,2.0,0.07,2.0
Table 1,JPK20+080,EK0+670,C63,2022.2.18,1.5,0.02,3.5
Table 1,JPK20+190,EK0+780,C64,2021.12.10,2.1,0.08,2.1
Table 1,JPK20+190,EK0+780,C64,2022.2.18,-0.1,0.0,2.0
Table 1,JPK20+120,EK0+830,C65,2021.12.10,2.2,0.08,2.2
Table 1,JPK20+120,EK0+830,C65,2022.2.18,-2.6,-0.04,-0.4
Table 1,JPK19+990,,C66,2021.12.10,-0.5,-0.02,-0.5
Table 1,JPK19+990,,C66,2022.2.18,3.1,0.04,2.6
Table 1,JPK19+940,,C67,2021.12.10,0.8,0.03,0.8
Table 1,JPK19+940,,C67,2022.2.18,-1.5,-0.02,-0.7
Table 1,JPK19+880,,C68,2021.12.10,1.4,0.05,1.4
Table 1,JPK19+880,,C68,2022.2.18,-2.4,-0.03,-1.0
Table 1,JPK19+840,,C69,2021.12.10,2.3,0.09,2.3
