model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMXT_BAG_L1_FULL,-0.10042219056276669,,r2,0.0010421276092529297,,0.04511594772338867,0.0010421276092529297,,0.04511594772338867,1,True,39
CatBoost_BAG_L1_FULL,-0.13161983563698976,,r2,0.020170211791992188,,0.03919196128845215,0.020170211791992188,,0.03919196128845215,1,True,44
XGBoost_BAG_L1_FULL,-0.15348599378974037,,r2,0.003628253936767578,,0.00730443000793457,0.003628253936767578,,0.00730443000793457,1,True,47
LinearModel_BAG_L1_FULL,-0.2104096698873048,,r2,0.0015790462493896484,,0.005208015441894531,0.0015790462493896484,,0.005208015441894531,1,True,49
XGBoostDense_BAG_L1,-0.22993790705899975,-0.21344303411314347,r2,0.020168304443359375,0.12160658836364746,1.3115921020507812,0.020168304443359375,0.12160658836364746,1.3115921020507812,1,True,12
LightGBMXT_BAG_L1,-0.23912195956635096,-0.16932184388445481,r2,0.003670930862426758,0.058214426040649414,0.7558839321136475,0.003670930862426758,0.058214426040649414,0.7558839321136475,1,True,3
ExtraTreesMSE_BAG_L2_FULL,-0.24366574577747246,,r2,0.19263100624084473,,1.0948336124420166,0.07575201988220215,,0.30071139335632324,2,True,58
XGBoost_BAG_L1,-0.25251904623780397,-0.2035044195669078,r2,0.019896507263183594,0.11891722679138184,1.2980716228485107,0.019896507263183594,0.11891722679138184,1.2980716228485107,1,True,11
XGBoostDense_BAG_L1_FULL,-0.2525730676152165,,r2,0.020092010498046875,,0.008434772491455078,0.020092010498046875,,0.008434772491455078,1,True,48
ExtraTreesMSE_BAG_L1_FULL,-0.2545798439256517,,r2,0.04827713966369629,,0.3026723861694336,0.04827713966369629,,0.3026723861694336,1,True,46
LightGBM_BAG_L1,-0.2574739287054628,-0.20695835765124637,r2,0.005217075347900391,0.06581783294677734,1.092411756515503,0.005217075347900391,0.06581783294677734,1.092411756515503,1,True,4
