model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoostDense_BAG_L1_FULL,-0.07212861805169557,,r2,0.0027320384979248047,,0.007843017578125,0.0027320384979248047,,0.007843017578125,1,True,50
CatBoostDeep_BAG_L1_FULL,-0.11059616077538759,,r2,0.008547067642211914,,0.07794332504272461,0.008547067642211914,,0.07794332504272461,1,True,47
LightGBMXT_BAG_L1_FULL,-0.14276115326738248,,r2,0.001039743423461914,,0.04982328414916992,0.001039743423461914,,0.04982328414916992,1,True,41
LightGBMLarge_BAG_L2_FULL,-0.16767340415758492,,r2,0.14493227005004883,,0.8926539421081543,0.025196075439453125,,0.04402565956115723,2,True,55
WeightedEnsemble_L2_FULL,-0.17199368651142533,,r2,0.06068563461303711,,0.5134556293487549,0.011563301086425781,,0.03569960594177246,2,True,52
ExtraTreesMSE_BAG_L1_FULL,-0.17224992725628074,,r2,0.04848074913024902,,0.35621166229248047,0.04848074913024902,,0.35621166229248047,1,True,48
LightGBM_BAG_L2_FULL,-0.17298701463961774,,r2,0.14386343955993652,,0.8921957015991211,0.02412724494934082,,0.04356741905212402,2,True,54
XGBoostDense_BAG_L1,-0.17967503986915734,-0.14563731794607682,r2,0.02361130714416504,0.12095856666564941,1.275470495223999,0.02361130714416504,0.12095856666564941,1.275470495223999,1,True,12
LinearModel_BAG_L1_FULL,-0.1982928041839751,,r2,0.0020766258239746094,,0.0052602291107177734,0.0020766258239746094,,0.0052602291107177734,1,True,51
LightGBMLarge_BAG_L2,-0.20093666163451518,-0.17728686523085724,r2,0.15450358390808105,0.49393677711486816,5.119863986968994,0.003654956817626953,0.05441093444824219,0.7974245548248291,2,True,17
LightGBM_BAG_L2,-0.201934149256767,-0.1752053093857966,r2,0.15343332290649414,0.4914131164550781,5.1016623973846436,0.002584695816040039,0.05188727378845215,0.7792229652404785,2,True,16
CatBoost_BAG_L1,-0.20502776967271474,-0.12662837315408448,r2,0.007297992706298828,0.05359506607055664,1.5898075103759766,0.007297992706298828,0.05359506607055664,1.5898075103759766,1,True,8
LightGBMXT_BAG_L2,-0.2058559490699552,-0.17099238413591666,r2,0.1571178436279297,0.50809645652771,5.403526782989502,0.006269216537475586,0.06857061386108398,1.081087350845337,2,True,15
LightGBMXT_BAG_L1,-0.20704164777220724,-0.14356089550096462,r2,0.0031974315643310547,0.05756711959838867,0.7749581336975098,0.0031974315643310547,0.05756711959838867,0.7749581336975098,1,True,3
CatBoostDeep_BAG_L2,-0.2127281655711868,-0.11970803421447473,r2,0.1640186309814453,0.4926927089691162,7.709932327270508,0.013170003890991211,0.053166866302490234,3.3874928951263428,2,True,21
CatBoost_BAG_L2,-0.22055058734955502,-0.11638218899504071,r2,0.16085171699523926,0.4904155731201172,6.959911584854126,0.010003089904785156,0.05088973045349121,2.637472152709961,2,True,20
LightGBM_BAG_L1_FULL,-0.22397501750536897,,r2,0.008941888809204102,,0.04765605926513672,0.008941888809204102,,0.04765605926513672,1,True,42
LightGBMLarge_BAG_L1,-0.2246474874026505,-0.17342807286683537,r2,0.0031082630157470703,0.054390668869018555,0.8411819934844971,0.0031082630157470703,0.054390668869018555,0.8411819934844971,1,True,5
LightGBM_BAG_L1,-0.22712046847653555,-0.175157768572215,r2,0.00472712516784668,0.05021023750305176,0.7923946380615234,0.00472712516784668,0.05021023750305176,0.7923946380615234,1,True,4
RandomForestMAE_BAG_L1_FULL,-0.22763249780151673,,r2,0.05503439903259277,,0.34267234802246094,0.05503439903259277,,0.34267234802246094,1,True,45
LightGBMLarge_BAG_L1_FULL,-0.22860157737376663,,r2,0.009376049041748047,,0.05232596397399902,0.009376049041748047,,0.05232596397399902,1,True,43
CatBoost_BAG_L1_FULL,-0.23798085262585045,,r2,0.0020613670349121094,,0.07125234603881836,0.0020613670349121094,,0.07125234603881836,1,True,46
CatBoostDeep_BAG_L1,-0.24395273419445962,-0.1432908555863479,r2,0.006405830383300781,0.04056906700134277,1.6902613639831543,0.006405830383300781,0.04056906700134277,1.6902613639831543,1,True,9
WeightedEnsemble_L2,-0.25039303058065965,-0.11688491175724103,r2,0.05717206001281738,0.15403127670288086,2.703974723815918,0.001687765121459961,0.0005252361297607422,0.03569960594177246,2,True,14
RandomForestMSE_BAG_L1_FULL,-0.262733771349994,,r2,0.046021223068237305,,0.35668039321899414,0.046021223068237305,,0.35668039321899414,1,True,44
ExtraTreesMSE_BAG_L2,-0.2634837076352463,-0.21509064787355792,r2,0.1960587501525879,0.4944789409637451,4.653355836868286,0.04521012306213379,0.05495309829711914,0.3309164047241211,2,True,22
ExtraTreesMSE_BAG_L2_FULL,-0.2681172691189029,,r2,0.1924283504486084,,1.1902821063995361,0.0726921558380127,,0.34165382385253906,2,True,60
XGBoost_BAG_L1_FULL,-0.27449031458643613,,r2,0.02320075035095215,,0.008882999420166016,0.02320075035095215,,0.008882999420166016,1,True,49
XGBoost_BAG_L2,-0.27669398457500005,-0.15560280447415975,r2,0.17711925506591797,0.5628201961517334,5.593378305435181,0.026270627975463867,0.12329435348510742,1.2709388732910156,2,True,23
XGBoost_BAG_L1,-0.279877186599776,-0.15960784696926633,r2,0.021988630294799805,0.1217658519744873,1.3084862232208252,0.021988630294799805,0.1217658519744873,1.3084862232208252,1,True,11
XGBoostDense_BAG_L2,-0.3158697705563738,-0.0915308693641157,r2,0.17707085609436035,0.5615200996398926,5.71262001991272,0.02622222900390625,0.1219942569732666,1.3901805877685547,2,True,24
WeightedEnsemble_L3,-0.31623643793892,-0.01638831837139776,r2,0.23524141311645508,0.712064266204834,6.154219388961792,0.00104522705078125,0.0005261898040771484,0.03392982482910156,3,True,26
WeightedEnsemble_L4,-0.31623643793892,-0.01638831837139776,r2,0.23524856567382812,0.712059736251831,6.155508995056152,0.0010523796081542969,0.0005216598510742188,0.035219430923461914,4,True,38
LinearModel_BAG_L2,-0.3721764228269413,-0.19083138543767864,r2,0.16602659225463867,0.5323922634124756,4.375812292098999,0.01517796516418457,0.09286642074584961,0.053372859954833984,2,True,25
CatBoostDeep_BAG_L2_FULL,-0.3726349123114441,,r2,0.1433863639831543,,1.2437522411346436,0.023650169372558594,,0.3951239585876465,2,True,59
RandomForestMAE_BAG_L2_FULL,-0.39774442931090204,,r2,0.16492080688476562,,1.2061781883239746,0.04518461227416992,,0.35754990577697754,2,True,57
KNeighborsDist_BAG_L1_FULL,-0.4286650621662267,,r2,0.02509760856628418,,0.0020923614501953125,0.02509760856628418,,0.0020923614501953125,1,True,40
RandomForestMSE_BAG_L2_FULL,-0.43519569654942103,,r2,0.1974189281463623,,1.2135682106018066,0.0776827335357666,,0.36493992805480957,2,True,56
RandomForestMSE_BAG_L2,-0.43946562821083734,-0.09757664274885025,r2,0.19640851020812988,0.4942309856414795,4.643927574157715,0.04555988311767578,0.054705142974853516,0.3214881420135498,2,True,18
KNeighborsUnif_BAG_L1_FULL,-0.45303691473434204,,r2,0.017324447631835938,,0.0015573501586914062,0.017324447631835938,,0.0015573501586914062,1,True,39
RandomForestMAE_BAG_L2,-0.4781634902402787,-0.08219652260815935,r2,0.192795991897583,0.4966773986816406,4.676736116409302,0.041947364807128906,0.05715155601501465,0.3542966842651367,2,True,19
CatBoostDeep_BAG_L3_FULL,-0.5415433367478282,,r2,0.31680798530578613,,3.4847798347473145,0.02262592315673828,,1.6006543636322021,3,True,71
CatBoost_BAG_L2_FULL,-0.5526446578714521,,r2,0.14280343055725098,,1.0775508880615234,0.023067235946655273,,0.22892260551452637,2,True,58
