model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoostDense_BAG_L1_FULL,-0.05818499136420208,,r2,0.003118276596069336,,0.00893855094909668,0.003118276596069336,,0.00893855094909668,1,True,50
LightGBMXT_BAG_L1_FULL,-0.07770690137089109,,r2,0.0010623931884765625,,0.045549631118774414,0.0010623931884765625,,0.045549631118774414,1,True,41
WeightedEnsemble_L2_FULL,-0.08881600830993563,,r2,0.08434081077575684,,0.532958984375,0.01152658462524414,,0.03353428840637207,2,True,52
XGBoost_BAG_L1_FULL,-0.10681115580507372,,r2,0.02278900146484375,,0.0074138641357421875,0.02278900146484375,,0.0074138641357421875,1,True,49
ExtraTreesMSE_BAG_L1_FULL,-0.12613749892189707,,r2,0.047789812088012695,,0.3298985958099365,0.047789812088012695,,0.3298985958099365,1,True,48
LightGBMXT_BAG_L2,-0.14558516815208455,-0.15285346964987023,r2,0.15662288665771484,0.49307990074157715,6.081055164337158,0.0072863101959228516,0.06703996658325195,1.23728346824646,2,True,15
XGBoostDense_BAG_L2_FULL,-0.1505179134402359,,r2,0.12276077270507812,,0.8428955078125,0.0021567344665527344,,0.013572216033935547,2,True,62
LightGBMLarge_BAG_L2,-0.15671326620550907,-0.1502062908357027,r2,0.15408802032470703,0.473146915435791,5.778250694274902,0.004751443862915039,0.04710698127746582,0.9344789981842041,2,True,17
LightGBM_BAG_L2,-0.15882996666776084,-0.15445963489313286,r2,0.15454602241516113,0.4845154285430908,5.719670534133911,0.005209445953369141,0.058475494384765625,0.8758988380432129,2,True,16
LightGBMXT_BAG_L1,-0.1707955989791996,-0.1406199025547521,r2,0.0052967071533203125,0.05864381790161133,0.7376587390899658,0.0052967071533203125,0.05864381790161133,0.7376587390899658,1,True,3
CatBoost_BAG_L1_FULL,-0.17447558857493095,,r2,0.0020945072174072266,,0.11980533599853516,0.0020945072174072266,,0.11980533599853516,1,True,46
CatBoostDeep_BAG_L1,-0.18226602927392288,-0.1487161574818947,r2,0.01038813591003418,0.04862093925476074,2.0680911540985107,0.01038813591003418,0.04862093925476074,2.0680911540985107,1,True,9
ExtraTreesMSE_BAG_L2_FULL,-0.19479755953223554,,r2,0.16739797592163086,,1.1645402908325195,0.04679393768310547,,0.3352169990539551,2,True,60
RandomForestMAE_BAG_L1_FULL,-0.2016222753084287,,r2,0.05553936958312988,,0.32048726081848145,0.05553936958312988,,0.32048726081848145,1,True,45
LightGBMLarge_BAG_L1,-0.21463121783473804,-0.16690936435337278,r2,0.0041544437408447266,0.05814218521118164,0.8934953212738037,0.0041544437408447266,0.05814218521118164,0.8934953212738037,1,True,5
CatBoostDeep_BAG_L1_FULL,-0.21613339537836795,,r2,0.00852203369140625,,0.11754965782165527,0.00852203369140625,,0.11754965782165527,1,True,47
XGBoostDense_BAG_L1,-0.2177139492513973,-0.13591841309054953,r2,0.01994156837463379,0.09525299072265625,1.3155598640441895,0.01994156837463379,0.09525299072265625,1.3155598640441895,1,True,12
XGBoostDense_BAG_L2,-0.21988864298815303,-0.13102045465763035,r2,0.17058205604553223,0.5407464504241943,6.152125597000122,0.021245479583740234,0.11470651626586914,1.3083539009094238,2,True,24
CatBoost_BAG_L2,-0.22092206554219906,-0.11275439349793626,r2,0.1619277000427246,0.47972679138183594,7.999493837356567,0.012591123580932617,0.05368685722351074,3.155722141265869,2,True,20
XGBoost_BAG_L2,-0.22405691230447178,-0.14609200968866864,r2,0.1744675636291504,0.5416622161865234,6.227025747299194,0.0251309871673584,0.11562228202819824,1.383254051208496,2,True,23
CatBoost_BAG_L1,-0.2245832688353886,-0.12577810154154578,r2,0.010540246963500977,0.05507016181945801,2.084345817565918,0.010540246963500977,0.05507016181945801,2.084345817565918,1,True,8
LinearModel_BAG_L1_FULL,-0.22571289252774585,,r2,0.003165721893310547,,0.007932901382446289,0.003165721893310547,,0.007932901382446289,1,True,51
LightGBM_BAG_L1,-0.22616106844529038,-0.1679707804620456,r2,0.00416111946105957,0.05806589126586914,0.8195102214813232,0.00416111946105957,0.05806589126586914,0.8195102214813232,1,True,4
RandomForestMSE_BAG_L1_FULL,-0.23304827186905608,,r2,0.04610300064086914,,0.31507182121276855,0.04610300064086914,,0.31507182121276855,1,True,44
XGBoost_BAG_L1,-0.24454171118065582,-0.14624223802723235,r2,0.020368099212646484,0.11394333839416504,1.274831771850586,0.020368099212646484,0.11394333839416504,1.274831771850586,1,True,11
CatBoostDeep_BAG_L2,-0.26625239014226065,-0.1287303212889852,r2,0.17092156410217285,0.4801008701324463,12.919084310531616,0.02158498764038086,0.054060935974121094,8.075312614440918,2,True,21
WeightedEnsemble_L3,-0.272572941936466,-0.07444894263383994,r2,0.23907041549682617,0.7287030220031738,9.692397832870483,0.0010273456573486328,0.0,0.029883384704589844,3,True,26
WeightedEnsemble_L2,-0.2795855085197587,-0.11126644390394813,r2,0.10657811164855957,0.37290000915527344,4.581647634506226,0.0011360645294189453,0.0005345344543457031,0.03353428840637207,2,True,14
CatBoostDeep_BAG_L2_FULL,-0.282567184236145,,r2,0.1448814868927002,,1.75355863571167,0.024277448654174805,,0.9242353439331055,2,True,59
RandomForestMAE_BAG_L2_FULL,-0.2831267614912092,,r2,0.19363999366760254,,1.1677744388580322,0.07303595542907715,,0.3384511470794678,2,True,57
WeightedEnsemble_L4_FULL,-0.28729824254079483,,r2,0.2302718162536621,,2.134392023086548,0.0015692710876464844,,0.036942243576049805,4,True,76
ExtraTreesMSE_BAG_L3_FULL,-0.31750378934251033,,r2,0.29549527168273926,,2.141706943511963,0.07254219055175781,,0.3323392868041992,3,True,72
RandomForestMSE_BAG_L2_FULL,-0.31897762146829933,,r2,0.16515541076660156,,1.1668100357055664,0.04455137252807617,,0.33748674392700195,2,True,56
KNeighborsDist_BAG_L1_FULL,-0.3227158607443261,,r2,0.02884674072265625,,0.0015742778778076172,0.02884674072265625,,0.0015742778778076172,1,True,40
XGBoostDense_BAG_L3_FULL,-0.3277099586359251,,r2,0.25820255279541016,,1.8267521858215332,0.03524947166442871,,0.01738452911376953,3,True,74
ExtraTreesMSE_BAG_L2,-0.3319787745868863,-0.23206352007158193,r2,0.19805192947387695,0.4788246154785156,5.15853476524353,0.04871535301208496,0.05278468132019043,0.31476306915283203,2,True,22
KNeighborsUnif_BAG_L1_FULL,-0.3405311154476309,,r2,0.017270326614379883,,0.002126455307006836,0.017270326614379883,,0.002126455307006836,1,True,39
LightGBMLarge_BAG_L2_FULL,-0.3535262583992409,,r2,0.12217235565185547,,0.8822717666625977,0.0015683174133300781,,0.0529484748840332,2,True,55
WeightedEnsemble_L3_FULL,-0.35405697748733655,,r2,0.18616724014282227,,1.4510855674743652,0.011576414108276367,,0.029883384704589844,3,True,64
RandomForestMAE_BAG_L3_FULL,-0.35962748974943803,,r2,0.29662156105041504,,2.159649610519409,0.0736684799194336,,0.3502819538116455,3,True,69
WeightedEnsemble_L4,-0.35967815699982775,-0.06742683368097069,r2,0.3187985420227051,0.9546034336090088,14.011907577514648,0.0015764236450195312,0.0005285739898681641,0.036942243576049805,4,True,38
LightGBM_BAG_L2_FULL,-0.3660824608542257,,r2,0.14459562301635742,,0.8780319690704346,0.02399158477783203,,0.04870867729187012,2,True,54
CatBoost_BAG_L2_FULL,-0.3704006733784919,,r2,0.1242513656616211,,1.0607848167419434,0.003647327423095703,,0.2314615249633789,2,True,58
LightGBMLarge_BAG_L1_FULL,-0.39021180100823694,,r2,0.015257835388183594,,0.05610322952270508,0.015257835388183594,,0.05610322952270508,1,True,43
RandomForestMSE_BAG_L2,-0.39839362725205496,-0.13194539288689278,r2,0.1916368007659912,0.48261260986328125,5.148247241973877,0.04230022430419922,0.056572675704956055,0.3044755458831787,2,True,18
LightGBM_BAG_L1_FULL,-0.4153988778271023,,r2,0.012049198150634766,,0.06966924667358398,0.012049198150634766,,0.06966924667358398,1,True,42
CatBoostDeep_BAG_L3,-0.4189395925727377,-0.13778883715814483,r2,0.321990966796875,0.8908627033233643,24.644502639770508,0.03048110008239746,0.06226801872253418,13.732746124267578,3,True,33
XGBoost_BAG_L3_FULL,-0.4300830259261865,,r2,0.25690507888793945,,1.8214457035064697,0.03395199775695801,,0.012078046798706055,3,True,73
RandomForestMSE_BAG_L3_FULL,-0.4347600123582054,,r2,0.29204702377319336,,2.1573843955993652,0.06909394264221191,,0.34801673889160156,3,True,68
RandomForestMAE_BAG_L2,-0.4392271143620068,-0.15459989538895735,r2,0.19223570823669434,0.4823954105377197,5.1503517627716064,0.042899131774902344,0.05635547637939453,0.3065800666809082,2,True,19
XGBoostDense_BAG_L3,-0.4662840964755357,-0.16618081023839637,r2,0.31140899658203125,0.9380323886871338,12.21238899230957,0.01989912986755371,0.10943770408630371,1.3006324768066406,3,True,36
XGBoost_BAG_L3,-0.49133942449689894,-0.19850322956809552,r2,0.31426239013671875,0.9316964149475098,12.122545957565308,0.02275252342224121,0.10310173034667969,1.210789442062378,3,True,35
CatBoostDeep_BAG_L3_FULL,-0.4974052187602318,,r2,0.24674510955810547,,3.124100923538208,0.023792028427124023,,1.3147332668304443,3,True,71
CatBoost_BAG_L3,-0.5275638431997556,-0.10680671784029783,r2,0.30461668968200684,0.8767998218536377,13.927649736404419,0.013106822967529297,0.04820513725280762,3.0158932209014893,3,True,32
