model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoostDeep_BAG_L2_FULL,-0.025775009868152843,,r2,0.13659930229187012,,1.1090037822723389,0.0299222469329834,,0.16333460807800293,2,True,45
CatBoostDeep_BAG_L1_FULL,-0.03929313530433842,,r2,0.0042307376861572266,,0.20157408714294434,0.0042307376861572266,,0.20157408714294434,1,True,36
CatBoost_BAG_L3_FULL,-0.05657381578901366,,r2,0.2937920093536377,,4.9879419803619385,0.029230356216430664,,0.8882434368133545,3,True,53
WeightedEnsemble_L2_FULL,-0.07637772043759994,,r2,0.06601572036743164,,0.5781950950622559,0.0146484375,,0.026106834411621094,2,True,38
CatBoost_BAG_L1_FULL,-0.11232808027197638,,r2,0.01685333251953125,,1.5982568264007568,0.01685333251953125,,1.5982568264007568,1,True,35
CatBoostDeep_BAG_L2,-0.16092947832538296,-0.15722565688428447,r2,0.14671587944030762,0.3166360855102539,4.624106168746948,0.02152109146118164,0.06363844871520996,1.0351500511169434,2,True,18
CatBoostDeep_BAG_L1,-0.16472286592116125,-0.16189065312978124,r2,0.020125627517700195,0.06924176216125488,2.0755841732025146,0.020125627517700195,0.06924176216125488,2.0755841732025146,1,True,9
CatBoost_BAG_L2_FULL,-0.17361651959593982,,r2,0.1130375862121582,,2.9398794174194336,0.006360530853271484,,1.9942102432250977,2,True,44
WeightedEnsemble_L3_FULL,-0.21698948661184714,,r2,0.16501212120056152,,3.3216404914855957,0.0015439987182617188,,0.020904541015625,3,True,47
WeightedEnsemble_L4_FULL,-0.21698948661184714,,r2,0.1733715534210205,,3.32712459564209,0.009903430938720703,,0.02638864517211914,4,True,54
RandomForestMSE_BAG_L1_FULL,-0.2220100609206177,,r2,0.05913114547729492,,0.3401601314544678,0.05913114547729492,,0.3401601314544678,1,True,33
RandomForestMAE_BAG_L1_FULL,-0.22622630036471048,,r2,0.047136545181274414,,0.35051417350769043,0.047136545181274414,,0.35051417350769043,1,True,34
LightGBMXT_BAG_L1,-0.23252391366880998,-0.17882103367282487,r2,0.008344173431396484,0.06547951698303223,0.8535735607147217,0.008344173431396484,0.06547951698303223,0.8535735607147217,1,True,3
CatBoost_BAG_L3,-0.2364636887796816,-0.16314906981480948,r2,0.28378844261169434,0.5887963771820068,42.809786558151245,0.017895936965942383,0.07281947135925293,13.277755975723267,3,True,26
LightGBMLarge_BAG_L1,-0.24889637862322744,-0.19633094334432744,r2,0.008364439010620117,0.06334781646728516,0.9411299228668213,0.008364439010620117,0.06334781646728516,0.9411299228668213,1,True,5
WeightedEnsemble_L2,-0.25038741033947143,-0.1178843917862582,r2,0.06786870956420898,0.12509703636169434,2.4009385108947754,0.0015637874603271484,0.000530242919921875,0.026106834411621094,2,True,11
CatBoost_BAG_L2,-0.2524828739086351,-0.14952758942293065,r2,0.1452038288116455,0.3170430660247803,23.874144077301025,0.02000904083251953,0.06404542922973633,20.28518795967102,2,True,17
RandomForestMAE_BAG_L3_FULL,-0.2534020161664028,,r2,0.33964037895202637,,4.451150417327881,0.07507872581481934,,0.3514518737792969,3,True,52
CatBoost_BAG_L1,-0.25667063681956837,-0.20017485329791307,r2,0.01951313018798828,0.06705331802368164,37.95175862312317,0.01951313018798828,0.06705331802368164,37.95175862312317,1,True,8
LightGBM_BAG_L1,-0.2576628183536638,-0.19845286416788843,r2,0.0068666934967041016,0.05019664764404297,0.8791885375976562,0.0068666934967041016,0.05019664764404297,0.8791885375976562,1,True,4
ExtraTreesMSE_BAG_L2_FULL,-0.27268168587530583,,r2,0.17235016822814941,,1.2832081317901611,0.0656731128692627,,0.3375389575958252,2,True,46
RandomForestMAE_BAG_L2_FULL,-0.27415138086710167,,r2,0.15710759162902832,,1.306525707244873,0.0504305362701416,,0.3608565330505371,2,True,43
ExtraTreesMSE_BAG_L1_FULL,-0.28192720106966496,,r2,0.04791116714477539,,0.33902668952941895,0.04791116714477539,,0.33902668952941895,1,True,37
WeightedEnsemble_L3,-0.30083719546058596,-0.10312094572199149,r2,0.188079833984375,0.3712477684020996,24.23649311065674,0.0010523796081542969,0.0005128383636474609,0.020904541015625,3,True,20
WeightedEnsemble_L4,-0.30083719546058596,-0.10312094572199149,r2,0.18808746337890625,0.37129759788513184,24.241977214813232,0.0010600090026855469,0.0005626678466796875,0.02638864517211914,4,True,27
LightGBMXT_BAG_L1_FULL,-0.3036418284903033,,r2,0.0027365684509277344,,0.05240035057067871,0.0027365684509277344,,0.05240035057067871,1,True,30
LightGBMLarge_BAG_L3,-0.3128435594390009,-0.1644860207407839,r2,0.27484607696533203,0.5668389797210693,30.49514150619507,0.008953571319580078,0.05086207389831543,0.9631109237670898,3,True,23
LightGBM_BAG_L3,-0.31977589909755966,-0.16814071899065297,r2,0.27370452880859375,0.5788226127624512,30.38772678375244,0.007812023162841797,0.06284570693969727,0.8556962013244629,3,True,22
RandomForestMSE_BAG_L2_FULL,-0.3343688535158873,,r2,0.18112564086914062,,1.2782537937164307,0.0744485855102539,,0.3325846195220947,2,True,42
ExtraTreesMSE_BAG_L2,-0.34515367520428697,-0.2526525597637521,r2,0.1716139316558838,0.3134348392486572,3.925274610519409,0.04641914367675781,0.06043720245361328,0.3363184928894043,2,True,19
LightGBMXT_BAG_L2,-0.35370075902053544,-0.27152207477503176,r2,0.15764069557189941,0.3378024101257324,8.569079637527466,0.03244590759277344,0.08480477333068848,4.980123519897461,2,True,12
RandomForestMSE_BAG_L3_FULL,-0.3583974234681335,,r2,0.3415238857269287,,4.432851791381836,0.07696223258972168,,0.33315324783325195,3,True,51
LightGBM_BAG_L2,-0.38141766973108915,-0.34747094827070346,r2,0.15451550483703613,0.3283572196960449,7.650364398956299,0.029320716857910156,0.07535958290100098,4.061408281326294,2,True,13
LightGBMLarge_BAG_L1_FULL,-0.3872934678096349,,r2,0.014661550521850586,,0.060762882232666016,0.014661550521850586,,0.060762882232666016,1,True,32
LightGBMXT_BAG_L3,-0.3876860354757574,-0.22022340163380005,r2,0.2747950553894043,0.5625021457672119,30.403358459472656,0.008902549743652344,0.04652523994445801,0.8713278770446777,3,True,21
LightGBMLarge_BAG_L2,-0.3895948317092617,-0.3395116563086751,r2,0.15195107460021973,0.31832456588745117,7.259964466094971,0.02675628662109375,0.06532692909240723,3.671008348464966,2,True,14
RandomForestMSE_BAG_L2,-0.4144357008224697,-0.1652780876128277,r2,0.16971254348754883,0.30596017837524414,3.9239144325256348,0.04451775550842285,0.052962541580200195,0.3349583148956299,2,True,15
RandomForestMAE_BAG_L2,-0.41814033089015035,-0.128527157166745,r2,0.16701841354370117,0.3066895008087158,3.9304006099700928,0.041823625564575195,0.053691864013671875,0.3414444923400879,2,True,16
LightGBM_BAG_L1_FULL,-0.42821288008312797,,r2,0.011409997940063477,,0.053522348403930664,0.011409997940063477,,0.053522348403930664,1,True,31
KNeighborsDist_BAG_L1_FULL,-0.43236039708303253,,r2,0.01996445655822754,,0.002138376235961914,0.01996445655822754,,0.002138376235961914,1,True,29
KNeighborsUnif_BAG_L1_FULL,-0.43922402020827467,,r2,0.004662036895751953,,0.0021538734436035156,0.004662036895751953,,0.0021538734436035156,1,True,28
LightGBMXT_BAG_L3_FULL,-0.4795817057976477,,r2,0.29345202445983887,,4.1484503746032715,0.028890371322631836,,0.0487518310546875,3,True,48
LightGBM_BAG_L3_FULL,-0.4893747795318544,,r2,0.2913060188293457,,4.151528358459473,0.026744365692138672,,0.05182981491088867,3,True,49
LightGBMLarge_BAG_L3_FULL,-0.507507582753493,,r2,0.2944612503051758,,4.158269166946411,0.02989959716796875,,0.05857062339782715,3,True,50
RandomForestMAE_BAG_L1,-0.6383047171750562,-0.26187137414733264,r2,0.04617929458618164,0.05532503128051758,0.29924750328063965,0.04617929458618164,0.05532503128051758,0.29924750328063965,1,True,7
ExtraTreesMSE_BAG_L1,-0.6427358205641391,-0.4087680430219731,r2,0.04479336738586426,0.04718518257141113,0.29984569549560547,0.04479336738586426,0.04718518257141113,0.29984569549560547,1,True,10
RandomForestMSE_BAG_L1,-0.6805527890281475,-0.286781632353186,r2,0.04451799392700195,0.056372880935668945,0.31551265716552734,0.04451799392700195,0.056372880935668945,0.31551265716552734,1,True,6
RandomForestMAE_BAG_L3,-0.686422172352922,-0.2657601603589319,r2,0.3092653751373291,0.5705523490905762,29.866034984588623,0.04337286949157715,0.054575443267822266,0.33400440216064453,3,True,25
RandomForestMSE_BAG_L3,-0.7336561648012045,-0.29628795637627725,r2,0.30838751792907715,0.5715775489807129,29.85995578765869,0.042495012283325195,0.055600643157958984,0.3279252052307129,3,True,24
KNeighborsUnif_BAG_L1,-0.9651373731895831,-0.5671208586930157,r2,0.0057523250579833984,0.015766143798828125,0.06070518493652344,0.0057523250579833984,0.015766143798828125,0.06070518493652344,1,True,1
KNeighborsDist_BAG_L1,-0.9730192027783611,-0.5953010486651558,r2,0.008895158767700195,0.01733994483947754,0.0026159286499023438,0.008895158767700195,0.01733994483947754,0.0026159286499023438,1,True,2
LightGBM_BAG_L2_FULL,-1.4968476362409397,,r2,0.13908934593200684,,1.2366132736206055,0.03241229057312012,,0.29094409942626953,2,True,40
LightGBMLarge_BAG_L2_FULL,-1.6027810424646094,,r2,0.14114999771118164,,1.2010376453399658,0.03447294235229492,,0.2553684711456299,2,True,41
LightGBMXT_BAG_L2_FULL,-2.328902472955601,,r2,0.14209747314453125,,1.407092809677124,0.03542041778564453,,0.4614236354827881,2,True,39
