model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_BAG_L1_FULL,-0.0010611913490987668,,r2,0.013530492782592773,,0.04720807075500488,0.013530492782592773,,0.04720807075500488,1,True,31
WeightedEnsemble_L2_FULL,-0.00760461851147487,,r2,0.058959007263183594,,0.3299093246459961,0.0017197132110595703,,0.026339292526245117,2,True,38
WeightedEnsemble_L4_FULL,-0.00760461851147487,,r2,0.06740140914916992,,0.3287336826324463,0.010162115097045898,,0.025163650512695312,4,True,54
CatBoostDeep_BAG_L1_FULL,-0.008749556558753424,,r2,0.01428532600402832,,0.18817567825317383,0.01428532600402832,,0.18817567825317383,1,True,36
LightGBMLarge_BAG_L1_FULL,-0.0103406980292724,,r2,0.014073371887207031,,0.052333831787109375,0.014073371887207031,,0.052333831787109375,1,True,32
CatBoostDeep_BAG_L2_FULL,-0.013020428689749508,,r2,0.175370454788208,,1.6761794090270996,0.02722334861755371,,0.13841772079467773,2,True,45
WeightedEnsemble_L3_FULL,-0.013020428689749508,,r2,0.18500208854675293,,1.696810245513916,0.009631633758544922,,0.020630836486816406,3,True,47
CatBoost_BAG_L1_FULL,-0.01957459354818658,,r2,0.01540517807006836,,0.8735129833221436,0.01540517807006836,,0.8735129833221436,1,True,35
CatBoostDeep_BAG_L1,-0.0336162507372606,-0.01451048649440101,r2,0.019934654235839844,0.0696253776550293,2.078774929046631,0.019934654235839844,0.0696253776550293,2.078774929046631,1,True,9
LightGBMLarge_BAG_L2_FULL,-0.04202841424883763,,r2,0.17353177070617676,,1.6923329830169678,0.02538466453552246,,0.1545712947845459,2,True,41
ExtraTreesMSE_BAG_L1_FULL,-0.042860016471392814,,r2,0.04668831825256348,,0.3018307685852051,0.04668831825256348,,0.3018307685852051,1,True,37
CatBoost_BAG_L1,-0.04574957647126188,0.04549130784227451,r2,0.017769575119018555,0.07309794425964355,38.1612229347229,0.017769575119018555,0.07309794425964355,38.1612229347229,1,True,8
CatBoost_BAG_L3_FULL,-0.04659447269380146,,r2,0.366518497467041,,4.263238430023193,0.02752685546875,,1.7001748085021973,3,True,53
