model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge_BAG_L1_FULL,0.09803807914552243,,r2,0.012375593185424805,,0.04389333724975586,0.012375593185424805,,0.04389333724975586,1,True,32
LightGBM_BAG_L1_FULL,0.08286123165356019,,r2,0.013580083847045898,,0.0458064079284668,0.013580083847045898,,0.0458064079284668,1,True,31
CatBoostDeep_BAG_L2_FULL,-0.00027877172318491183,,r2,0.16749167442321777,,2.3217148780822754,0.026967287063598633,,0.14385271072387695,2,True,45
CatBoostDeep_BAG_L1_FULL,-0.010409313517051988,,r2,0.016467809677124023,,0.1284196376800537,0.016467809677124023,,0.1284196376800537,1,True,36
CatBoostDeep_BAG_L1,-0.024253954506762154,-0.021094819634682294,r2,0.017407894134521484,0.06930732727050781,2.1464121341705322,0.017407894134521484,0.06930732727050781,2.1464121341705322,1,True,9
CatBoostDeep_BAG_L2,-0.02615845969009456,-0.027512479408508428,r2,0.15343284606933594,0.3309776782989502,40.76907300949097,0.01750636100769043,0.06620621681213379,1.2837176322937012,2,True,18
CatBoost_BAG_L1_FULL,-0.06629110591418219,,r2,0.015376567840576172,,1.5108075141906738,0.015376567840576172,,1.5108075141906738,1,True,35
LightGBM_BAG_L1,-0.08327602127726275,0.03573668640150063,r2,0.0062007904052734375,0.05884146690368652,0.8889336585998535,0.0062007904052734375,0.05884146690368652,0.8889336585998535,1,True,4
LightGBMLarge_BAG_L1,-0.08825606932289665,0.029040569916174652,r2,0.005660295486450195,0.05993914604187012,0.8549728393554688,0.005660295486450195,0.05993914604187012,0.8549728393554688,1,True,5
CatBoost_BAG_L1,-0.09148227599947334,0.06789879817914579,r2,0.021702051162719727,0.06696605682373047,37.93908143043518,0.021702051162719727,0.06696605682373047,37.93908143043518,1,True,8
RandomForestMSE_BAG_L2_FULL,-0.10080513297531724,,r2,0.21420550346374512,,2.4804160594940186,0.07368111610412598,,0.3025538921356201,2,True,42
CatBoost_BAG_L2,-0.12595687796904165,-0.018848534996086297,r2,0.15355992317199707,0.3325355052947998,63.6805477142334,0.017633438110351562,0.0677640438079834,24.195192337036133,2,True,17
RandomForestMAE_BAG_L2_FULL,-0.1343221473450238,,r2,0.2184433937072754,,2.4933369159698486,0.07791900634765625,,0.3154747486114502,2,True,43
CatBoost_BAG_L2_FULL,-0.14451164905620795,,r2,0.1693131923675537,,4.020057201385498,0.02878880500793457,,1.8421950340270996,2,True,44
LightGBMLarge_BAG_L3_FULL,-0.15327049992290354,,r2,0.37586283683776855,,4.8416948318481445,0.026130199432373047,,0.051900625228881836,3,True,50
RandomForestMAE_BAG_L1_FULL,-0.1562727251698539,,r2,0.06108880043029785,,0.3103020191192627,0.06108880043029785,,0.3103020191192627,1,True,34
LightGBM_BAG_L3_FULL,-0.16150050877411615,,r2,0.375286340713501,,4.835960626602173,0.02555370330810547,,0.046166419982910156,3,True,49
LightGBMXT_BAG_L1,-0.17618618388847418,0.053188837708885495,r2,0.009449005126953125,0.06581330299377441,0.9074182510375977,0.009449005126953125,0.06581330299377441,0.9074182510375977,1,True,3
KNeighborsUnif_BAG_L1,-0.18031446465451495,0.019935412020001597,r2,0.00577998161315918,0.014681339263916016,0.0606992244720459,0.00577998161315918,0.014681339263916016,0.0606992244720459,1,True,1
CatBoost_BAG_L3_FULL,-0.18596598206490178,,r2,0.379791259765625,,6.259352445602417,0.030058622360229492,,1.4695582389831543,3,True,53
ExtraTreesMSE_BAG_L1_FULL,-0.20410808668680636,,r2,0.0391545295715332,,0.30449867248535156,0.0391545295715332,,0.30449867248535156,1,True,37
WeightedEnsemble_L3_FULL,-0.21592964788567826,,r2,0.24457311630249023,,4.353708982467651,0.010526895523071289,,0.02251577377319336,3,True,47
ExtraTreesMSE_BAG_L2_FULL,-0.22058331850857082,,r2,0.20525741577148438,,2.4889981746673584,0.06473302841186523,,0.31113600730895996,2,True,46
LightGBMXT_BAG_L1_FULL,-0.25874596470861677,,r2,0.014104366302490234,,0.053655385971069336,0.014104366302490234,,0.053655385971069336,1,True,30
KNeighborsDist_BAG_L1,-0.2592488805488735,0.8148329445294774,r2,0.009979009628295898,0.015672922134399414,0.0020835399627685547,0.009979009628295898,0.015672922134399414,0.0020835399627685547,1,True,2
WeightedEnsemble_L2,-0.2610735988201611,0.8356647725459467,r2,0.06052970886230469,0.07483029365539551,0.3260679244995117,0.0010559558868408203,0.0005464553833007812,0.025127172470092773,2,True,11
WeightedEnsemble_L4,-0.2610735988201611,0.8356647725459467,r2,0.06053519248962402,0.07428383827209473,0.3266448974609375,0.0010614395141601562,0.0,0.025704145431518555,4,True,27
LightGBM_BAG_L2_FULL,-0.2667168241115325,,r2,0.17192506790161133,,2.311371088027954,0.03140068054199219,,0.13350892066955566,2,True,40
WeightedEnsemble_L3,-0.26736224814282417,0.03748089823720546,r2,0.1936185359954834,0.3906064033508301,64.00607991218567,0.0016186237335205078,0.0,0.02251577377319336,3,True,20
ExtraTreesMSE_BAG_L2,-0.2756453127029648,0.0373460910604404,r2,0.17436647415161133,0.3228423595428467,39.78837180137634,0.03843998908996582,0.05807089805603027,0.30301642417907715,2,True,19
