model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoostDeep_BAG_L2_FULL,-0.025775009868152843,,r2,0.13831591606140137,,1.065230131149292,0.031029939651489258,,0.18526268005371094,2,True,45
CatBoostDeep_BAG_L1_FULL,-0.03929313530433842,,r2,0.003695964813232422,,0.21112585067749023,0.003695964813232422,,0.21112585067749023,1,True,36
WeightedEnsemble_L2_FULL,-0.07637772043759994,,r2,0.058974266052246094,,0.5468735694885254,0.011263370513916016,,0.025965213775634766,2,True,38
CatBoost_BAG_L3_FULL,-0.07945446712339255,,r2,0.29762744903564453,,4.968902349472046,0.02959728240966797,,1.123084306716919,3,True,53
CatBoost_BAG_L1_FULL,-0.11605341803915903,,r2,0.016358613967895508,,1.7458505630493164,0.016358613967895508,,1.7458505630493164,1,True,35
CatBoostDeep_BAG_L2,-0.15791377772484738,-0.15626451401204733,r2,0.14181184768676758,0.3282968997955322,4.5903496742248535,0.0210268497467041,0.07284283638000488,1.0184524059295654,2,True,18
CatBoostDeep_BAG_L1,-0.16472286592116125,-0.16189065312978124,r2,0.018415212631225586,0.06976056098937988,2.060640335083008,0.018415212631225586,0.06976056098937988,2.060640335083008,1,True,9
CatBoost_BAG_L2_FULL,-0.16901572498189088,,r2,0.11304211616516113,,2.798222303390503,0.0057561397552490234,,1.9182548522949219,2,True,44
WeightedEnsemble_L3_FULL,-0.21472029611286358,,r2,0.15768074989318848,,3.126526117324829,0.0015926361083984375,,0.019933700561523438,3,True,47
WeightedEnsemble_L4_FULL,-0.21472029611286358,,r2,0.16714715957641602,,3.1326510906219482,0.011059045791625977,,0.026058673858642578,4,True,54
RandomForestMSE_BAG_L1_FULL,-0.2220100609206177,,r2,0.06062436103820801,,0.3074767589569092,0.06062436103820801,,0.3074767589569092,1,True,33
RandomForestMAE_BAG_L1_FULL,-0.22622630036471048,,r2,0.044014930725097656,,0.3097825050354004,0.044014930725097656,,0.3097825050354004,1,True,34
LightGBMXT_BAG_L1,-0.23252391366880998,-0.17882103367282487,r2,0.007794857025146484,0.06597280502319336,0.8575501441955566,0.007794857025146484,0.06597280502319336,0.8575501441955566,1,True,3
RandomForestMAE_BAG_L3_FULL,-0.23874938029254444,,r2,0.3346538543701172,,4.146850347518921,0.06662368774414062,,0.30103230476379395,3,True,52
LightGBMLarge_BAG_L1,-0.24889637862322744,-0.19633094334432744,r2,0.007289886474609375,0.0731515884399414,0.9086205959320068,0.007289886474609375,0.0731515884399414,0.9086205959320068,1,True,5
CatBoost_BAG_L2,-0.24899939737724597,-0.149412906003487,r2,0.13912081718444824,0.3181281089782715,24.05995273590088,0.018335819244384766,0.06267404556274414,20.48805546760559,2,True,17
CatBoost_BAG_L3,-0.2500918694726726,-0.1747882677567183,r2,0.2794630527496338,0.5660438537597656,43.003437995910645,0.018830299377441406,0.06970739364624023,13.432942867279053,3,True,26
WeightedEnsemble_L2,-0.25038741033947143,-0.1178843917862582,r2,0.06243586540222168,0.11438250541687012,2.3808491230010986,0.0010495185852050781,0.0005288124084472656,0.025965213775634766,2,True,11
LightGBM_BAG_L1,-0.2576628183536638,-0.19845286416788843,r2,0.007382631301879883,0.06753778457641602,0.8340744972229004,0.007382631301879883,0.06753778457641602,0.8340744972229004,1,True,4
CatBoost_BAG_L1,-0.25880164536206096,-0.2011312460108794,r2,0.01937079429626465,0.0671234130859375,38.014628171920776,0.01937079429626465,0.0671234130859375,38.014628171920776,1,True,8
ExtraTreesMSE_BAG_L2_FULL,-0.27268168587530583,,r2,0.18098926544189453,,1.1925139427185059,0.07370328903198242,,0.3125464916229248,2,True,46
RandomForestMAE_BAG_L2_FULL,-0.27415138086710167,,r2,0.15033197402954102,,1.1883375644683838,0.043045997619628906,,0.30837011337280273,2,True,43
ExtraTreesMSE_BAG_L1_FULL,-0.28192720106966496,,r2,0.04962301254272461,,0.305861234664917,0.04962301254272461,,0.305861234664917,1,True,37
WeightedEnsemble_L4,-0.29930856012008045,-0.10271714042957569,r2,0.1830735206604004,0.3738398551940918,24.390843391418457,0.0010707378387451172,0.0005400180816650391,0.026058673858642578,4,True,27
WeightedEnsemble_L3,-0.29930856012008045,-0.10271714042957569,r2,0.18357396125793457,0.37329983711242676,24.384718418121338,0.0015711784362792969,0.0,0.019933700561523438,3,True,20
LightGBMXT_BAG_L1_FULL,-0.3036418284903033,,r2,0.005745649337768555,,0.05105900764465332,0.005745649337768555,,0.05105900764465332,1,True,30
LightGBMLarge_BAG_L3,-0.3047569759537532,-0.15904023536428613,r2,0.27010226249694824,0.5486733913421631,30.481820821762085,0.00946950912475586,0.052336931228637695,0.9113256931304932,3,True,23
LightGBM_BAG_L3,-0.3135478397174314,-0.16142824041506154,r2,0.2710700035095215,0.5531148910522461,30.400433778762817,0.010437250137329102,0.0567784309387207,0.8299386501312256,3,True,22
RandomForestMSE_BAG_L3_FULL,-0.3339087054872749,,r2,0.3356037139892578,,4.155318021774292,0.06757354736328125,,0.30949997901916504,3,True,51
RandomForestMSE_BAG_L2_FULL,-0.3343688535158873,,r2,0.17838382720947266,,1.1944940090179443,0.07109785079956055,,0.3145265579223633,2,True,42
ExtraTreesMSE_BAG_L2,-0.34515367520428697,-0.2526525597637521,r2,0.1668100357055664,0.3093702793121338,3.8650569915771484,0.04602503776550293,0.053916215896606445,0.29315972328186035,2,True,19
LightGBMXT_BAG_L2,-0.35370075902053544,-0.27152207477503176,r2,0.15338993072509766,0.32457447052001953,8.484447956085205,0.03260493278503418,0.06912040710449219,4.912550687789917,2,True,12
LightGBM_BAG_L2,-0.38141766973108915,-0.34747094827070346,r2,0.14798736572265625,0.3293147087097168,7.655252695083618,0.027202367782592773,0.07386064529418945,4.08335542678833,2,True,13
LightGBMXT_BAG_L3,-0.3847907793465737,-0.21114226072956455,r2,0.2696516513824463,0.554631233215332,30.414225339889526,0.009018898010253906,0.05829477310180664,0.8437302112579346,3,True,21
LightGBMLarge_BAG_L1_FULL,-0.3872934678096349,,r2,0.018330812454223633,,0.05905628204345703,0.018330812454223633,,0.05905628204345703,1,True,32
LightGBMLarge_BAG_L2,-0.3895948317092617,-0.3395116563086751,r2,0.14496135711669922,0.31769466400146484,7.188300848007202,0.024176359176635742,0.0622406005859375,3.616403579711914,2,True,14
RandomForestMSE_BAG_L2,-0.4144357008224697,-0.1652780876128277,r2,0.16547417640686035,0.3097214698791504,3.8680148124694824,0.044689178466796875,0.05426740646362305,0.29611754417419434,2,True,15
RandomForestMAE_BAG_L2,-0.41814033089015035,-0.128527157166745,r2,0.1636669635772705,0.3106257915496826,3.8767292499542236,0.04288196563720703,0.05517172813415527,0.30483198165893555,2,True,16
LightGBM_BAG_L3_FULL,-0.4244289023352108,,r2,0.29587769508361816,,3.896562099456787,0.0278475284576416,,0.050744056701660156,3,True,49
LightGBM_BAG_L1_FULL,-0.42821288008312797,,r2,0.015715599060058594,,0.05282473564147949,0.015715599060058594,,0.05282473564147949,1,True,31
KNeighborsDist_BAG_L1_FULL,-0.43236039708303253,,r2,0.018840789794921875,,0.0016205310821533203,0.018840789794921875,,0.0016205310821533203,1,True,29
LightGBMLarge_BAG_L3_FULL,-0.43392185181086473,,r2,0.2988765239715576,,3.9023656845092773,0.030846357345581055,,0.05654764175415039,3,True,50
KNeighborsUnif_BAG_L1_FULL,-0.43922402020827467,,r2,0.004206418991088867,,0.002138853073120117,0.004206418991088867,,0.002138853073120117,1,True,28
LightGBMXT_BAG_L3_FULL,-0.48753674596019203,,r2,0.2981736660003662,,3.896089553833008,0.03014349937438965,,0.05027151107788086,3,True,48
RandomForestMAE_BAG_L1,-0.6383047171750562,-0.26187137414733264,r2,0.042971134185791016,0.04409313201904297,0.29424357414245605,0.042971134185791016,0.04409313201904297,0.29424357414245605,1,True,7
ExtraTreesMSE_BAG_L1,-0.6427358205641391,-0.4087680430219731,r2,0.04585742950439453,0.059360504150390625,0.29691386222839355,0.04585742950439453,0.059360504150390625,0.29691386222839355,1,True,10
RandomForestMAE_BAG_L3,-0.6688232245658723,-0.26755079636330703,r2,0.30309295654296875,0.5509724617004395,29.87343955039978,0.04246020317077637,0.05463600158691406,0.3029444217681885,3,True,25
RandomForestMSE_BAG_L1,-0.6805527890281475,-0.286781632353186,r2,0.04191708564758301,0.04302477836608887,0.321749210357666,0.04191708564758301,0.04302477836608887,0.321749210357666,1,True,6
RandomForestMSE_BAG_L3,-0.730643036346944,-0.303674853930914,r2,0.3077504634857178,0.5525953769683838,29.86529278755188,0.04711771011352539,0.0562589168548584,0.2947976589202881,3,True,24
KNeighborsUnif_BAG_L1,-0.9651373731895831,-0.5671208586930157,r2,0.005746364593505859,0.016267061233520508,0.06254935264587402,0.005746364593505859,0.016267061233520508,0.06254935264587402,1,True,1
KNeighborsDist_BAG_L1,-0.9730192027783611,-0.5953010486651558,r2,0.010539770126342773,0.016755342483520508,0.0021758079528808594,0.010539770126342773,0.016755342483520508,0.0021758079528808594,1,True,2
LightGBM_BAG_L2_FULL,-1.4968476362409397,,r2,0.14082956314086914,,1.1749677658081055,0.03354358673095703,,0.2950003147125244,2,True,40
LightGBMLarge_BAG_L2_FULL,-1.6027810424646094,,r2,0.13988566398620605,,1.1540255546569824,0.032599687576293945,,0.27405810356140137,2,True,41
LightGBMXT_BAG_L2_FULL,-2.328902472955601,,r2,0.1455247402191162,,1.3066465854644775,0.0382387638092041,,0.4266791343688965,2,True,39
