model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoostDeep_BAG_L1_FULL,-0.03161389454608576,,r2,0.0036945343017578125,,0.09438776969909668,0.0036945343017578125,,0.09438776969909668,1,True,36
CatBoostDeep_BAG_L2_FULL,-0.03417841685270839,,r2,0.14049744606018066,,0.9068458080291748,0.028579235076904297,,0.14756560325622559,2,True,45
WeightedEnsemble_L2_FULL,-0.07158926376354047,,r2,0.06361174583435059,,0.43077969551086426,0.012201547622680664,,0.027089357376098633,2,True,38
CatBoost_BAG_L1_FULL,-0.08087684911140824,,r2,0.01569986343383789,,1.5332891941070557,0.01569986343383789,,1.5332891941070557,1,True,35
CatBoost_BAG_L3_FULL,-0.09754204833933078,,r2,0.31528258323669434,,3.422581911087036,0.026381254196166992,,1.686255931854248,3,True,53
WeightedEnsemble_L4_FULL,-0.12793063255622927,,r2,0.16179847717285156,,1.0959458351135254,0.001054525375366211,,0.02482151985168457,4,True,54
WeightedEnsemble_L3_FULL,-0.1287962432665697,,r2,0.1989607810974121,,1.2409086227416992,0.009637594223022461,,0.022218704223632812,3,True,47
CatBoostDeep_BAG_L2,-0.1528186785585015,-0.1604360499910904,r2,0.14949297904968262,0.3152475357055664,4.949610233306885,0.026360273361206055,0.07223176956176758,1.336054801940918,2,True,18
CatBoostDeep_BAG_L1,-0.1590148007585621,-0.16028695462435483,r2,0.01952075958251953,0.06128883361816406,2.1073098182678223,0.01952075958251953,0.06128883361816406,2.1073098182678223,1,True,9
ExtraTreesMSE_BAG_L1_FULL,-0.17099384268646367,,r2,0.05261397361755371,,0.3036782741546631,0.05261397361755371,,0.3036782741546631,1,True,37
LightGBMXT_BAG_L2,-0.19001408803958264,-0.2856136375522351,r2,0.14305377006530762,0.3137061595916748,6.574613809585571,0.019921064376831055,0.07069039344787598,2.9610583782196045,2,True,12
LightGBMXT_BAG_L1,-0.225054980891217,-0.1664385636415493,r2,0.010533809661865234,0.06487011909484863,0.8527851104736328,0.010533809661865234,0.06487011909484863,0.8527851104736328,1,True,3
CatBoost_BAG_L1,-0.2251126363927396,-0.16761406550409186,r2,0.021441221237182617,0.06565165519714355,37.97890663146973,0.021441221237182617,0.06565165519714355,37.97890663146973,1,True,8
RandomForestMAE_BAG_L1_FULL,-0.22682760381839295,,r2,0.04771566390991211,,0.30930256843566895,0.04771566390991211,,0.30930256843566895,1,True,34
CatBoost_BAG_L2,-0.23283322942890305,-0.18682264315494557,r2,0.1499013900756836,0.30612635612487793,28.211005210876465,0.02676868438720703,0.0631105899810791,24.597449779510498,2,True,17
LightGBMLarge_BAG_L1,-0.24889637862322744,-0.19633094334432744,r2,0.007846832275390625,0.06285691261291504,0.9516255855560303,0.007846832275390625,0.06285691261291504,0.9516255855560303,1,True,5
LightGBM_BAG_L2,-0.2531197400568186,-0.48363137153078917,r2,0.13936948776245117,0.3183410167694092,6.114412069320679,0.01623678207397461,0.07532525062561035,2.500856637954712,2,True,13
CatBoost_BAG_L2_FULL,-0.2541697591196166,,r2,0.14141368865966797,,3.1503193378448486,0.0294954776763916,,2.3910391330718994,2,True,44
WeightedEnsemble_L3,-0.2552055973450338,-0.0828473618854737,r2,0.19766664505004883,0.3700103759765625,5.272999048233032,0.001556396484375,0.0005409717559814453,0.022218704223632812,3,True,20
RandomForestMSE_BAG_L1_FULL,-0.25591563864149003,,r2,0.0591733455657959,,0.30341529846191406,0.0591733455657959,,0.30341529846191406,1,True,33
LightGBM_BAG_L1,-0.2576628183536638,-0.19845286416788843,r2,0.007869720458984375,0.0644829273223877,0.8731739521026611,0.007869720458984375,0.0644829273223877,0.8731739521026611,1,True,4
WeightedEnsemble_L4,-0.2592856532288528,-0.08228664483382175,r2,0.17078137397766113,0.297788143157959,3.939547061920166,0.0010313987731933594,0.0005505084991455078,0.02482151985168457,4,True,27
RandomForestMAE_BAG_L2_FULL,-0.2626460787320013,,r2,0.16074395179748535,,1.0711243152618408,0.048825740814208984,,0.3118441104888916,2,True,43
WeightedEnsemble_L2,-0.27289815265465855,-0.10295601288309508,r2,0.0630042552947998,0.11841273307800293,2.4352664947509766,0.0015680789947509766,0.0,0.027089357376098633,2,True,11
LightGBMLarge_BAG_L2,-0.2737058427264072,-0.4549191324425379,r2,0.14522480964660645,0.3178136348724365,7.026070594787598,0.022092103958129883,0.0747978687286377,3.412515163421631,2,True,14
LightGBMXT_BAG_L1_FULL,-0.2793858413283259,,r2,0.002684354782104492,,0.04974079132080078,0.002684354782104492,,0.04974079132080078,1,True,30
ExtraTreesMSE_BAG_L2_FULL,-0.3439484377827893,,r2,0.18371081352233887,,1.0702378749847412,0.0717926025390625,,0.310957670211792,2,True,46
RandomForestMSE_BAG_L2_FULL,-0.35386473875974644,,r2,0.18419885635375977,,1.0605316162109375,0.0722806453704834,,0.3012514114379883,2,True,42
ExtraTreesMSE_BAG_L2,-0.35569270546838183,-0.2669941706326153,r2,0.1682744026184082,0.3027675151824951,3.9160778522491455,0.04514169692993164,0.05975174903869629,0.3025224208831787,2,True,19
RandomForestMAE_BAG_L3_FULL,-0.3637852050370085,,r2,0.36824822425842285,,2.0443315505981445,0.07934689521789551,,0.30800557136535645,3,True,52
RandomForestMSE_BAG_L2,-0.38029248455049824,-0.1429995842985703,r2,0.16873836517333984,0.29785847663879395,3.913994312286377,0.04560565948486328,0.05484271049499512,0.30043888092041016,2,True,15
LightGBMXT_BAG_L3,-0.3864078284343959,-0.23475227535233945,r2,0.26954102516174316,0.5632879734039307,9.42821741104126,0.00836801528930664,0.06337642669677734,0.9138562679290771,3,True,21
LightGBMLarge_BAG_L1_FULL,-0.3872934678096349,,r2,0.016261577606201172,,0.05863785743713379,0.016261577606201172,,0.05863785743713379,1,True,32
CatBoost_BAG_L3,-0.40950047269508016,-0.2834385763390934,r2,0.28060221672058105,0.5695350170135498,21.82066559791565,0.01942920684814453,0.06962347030639648,13.306304454803467,3,True,26
RandomForestMAE_BAG_L2,-0.4237401672875767,-0.12370495031950401,r2,0.16974997520446777,0.2972376346588135,3.9147255420684814,0.04661726951599121,0.05422186851501465,0.30117011070251465,2,True,16
LightGBM_BAG_L1_FULL,-0.42821288008312797,,r2,0.015213489532470703,,0.054431915283203125,0.015213489532470703,,0.054431915283203125,1,True,31
KNeighborsDist_BAG_L1_FULL,-0.43236039708303253,,r2,0.019944190979003906,,0.0021524429321289062,0.019944190979003906,,0.0021524429321289062,1,True,29
KNeighborsUnif_BAG_L1_FULL,-0.43922402020827467,,r2,0.005209684371948242,,0.0021708011627197266,0.005209684371948242,,0.0021708011627197266,1,True,28
RandomForestMSE_BAG_L3_FULL,-0.45952427092612624,,r2,0.3627948760986328,,2.0436902046203613,0.07389354705810547,,0.30736422538757324,3,True,51
LightGBMLarge_BAG_L3,-0.470193295673041,-0.28076570150103874,r2,0.2685513496398926,0.5657958984375,9.409127950668335,0.007378339767456055,0.06588435173034668,0.8947668075561523,3,True,23
LightGBM_BAG_L3_FULL,-0.4939155538171407,,r2,0.3141767978668213,,1.7881200313568115,0.025275468826293945,,0.05179405212402344,3,True,49
LightGBMLarge_BAG_L3_FULL,-0.498448091034434,,r2,0.3160364627838135,,1.7902867794036865,0.027135133743286133,,0.05396080017089844,3,True,50
LightGBM_BAG_L3,-0.5053187529267413,-0.2978369771684004,r2,0.2695455551147461,0.5610940456390381,9.340542316436768,0.00837254524230957,0.061182498931884766,0.826181173324585,3,True,22
LightGBMXT_BAG_L3_FULL,-0.523939006657663,,r2,0.314361572265625,,1.786665678024292,0.025460243225097656,,0.050339698791503906,3,True,48
RandomForestMSE_BAG_L1,-0.6229174799646058,-0.2828490541045854,r2,0.043521881103515625,0.0475621223449707,0.3128077983856201,0.043521881103515625,0.0475621223449707,0.3128077983856201,1,True,6
ExtraTreesMSE_BAG_L1,-0.6314595407163512,-0.3538188875087891,r2,0.04646015167236328,0.045044898986816406,0.29329586029052734,0.04646015167236328,0.045044898986816406,0.29329586029052734,1,True,10
RandomForestMAE_BAG_L1,-0.6489790448533928,-0.2323844447895551,r2,0.0419154167175293,0.05712389945983887,0.30086731910705566,0.0419154167175293,0.05712389945983887,0.30086731910705566,1,True,7
RandomForestMAE_BAG_L3,-0.8516541047721504,-0.38402621212770827,r2,0.30350470542907715,0.5535128116607666,8.821463584899902,0.042331695556640625,0.05360126495361328,0.3071024417877197,3,True,25
RandomForestMSE_BAG_L3,-0.9503678231070269,-0.4492684709650623,r2,0.30414724349975586,0.5579557418823242,8.802620887756348,0.042974233627319336,0.0580441951751709,0.28825974464416504,3,True,24
KNeighborsUnif_BAG_L1,-0.9651373731895831,-0.5671208586930157,r2,0.004702568054199219,0.01468801498413086,0.05929732322692871,0.004702568054199219,0.01468801498413086,0.05929732322692871,1,True,1
KNeighborsDist_BAG_L1,-0.9730192027783611,-0.5953010486651558,r2,0.008407115936279297,0.015285253524780273,0.002599954605102539,0.008407115936279297,0.015285253524780273,0.002599954605102539,1,True,2
LightGBM_BAG_L2_FULL,-1.2616498639906588,,r2,0.14234638214111328,,0.934492826461792,0.030428171157836914,,0.17521262168884277,2,True,40
LightGBMLarge_BAG_L2_FULL,-1.3364688239973774,,r2,0.14223718643188477,,0.9966681003570557,0.0303189754486084,,0.23738789558410645,2,True,41
LightGBMXT_BAG_L2_FULL,-2.128501030328573,,r2,0.13970375061035156,,0.9659585952758789,0.027785539627075195,,0.2066783905029297,2,True,39
