,importance,stddev,p_value,n,p99_high,p99_low
single_lag_2,0.029370110732056698,0.008882438248420346,3.537084161223037e-12,20,0.03505242344133039,0.023687798022783008
single_lag_5,0.013049609283640995,0.007486039622855792,1.2276817437597498e-07,20,0.017838611683814714,0.008260606883467275
roll_std_3,0.012437568379097107,0.00897115814113096,2.94304207415218e-06,20,0.01817663737080311,0.0066984993873911046
cum_lag_3,0.0064185893188688945,0.007460825788388593,0.0005428448880482066,20,0.011191461813262749,0.0016457168244750396
cum_lag_4,0.00499706476784183,0.014555069051371161,0.07058788895542088,20,0.014308297961010501,-0.004314168425326841
depth_thickness_ratio,0.003884188085554419,0.009861184437771916,0.04711771106669397,20,0.01019262863893608,-0.002424252467827243
mining_depth_m,0.0037055173968039814,0.006304049916179476,0.008269132928099256,20,0.0077383721104264365,-0.0003273373168184738
single_lag_3,0.0026905106288013904,0.008149796186021123,0.0781099389079978,20,0.00790413431529916,-0.0025231130576963794
coal_mine,0.0018508133667963888,0.005637147010868893,0.07919045999389653,20,0.005457034002172163,-0.0017554072685793856
diff_1,0.0009244948379627304,0.01375026977656332,0.383461010131971,20,0.009720878277071118,-0.007871888601145658
days_next,0.0,0.0,0.5,20,0.0,0.0
timestep,0.0,0.0,0.5,20,0.0,0.0
single_lag_4,-8.710910795521887e-05,0.02796538666500336,0.5054845530938434,20,0.017803031822049196,-0.017977250037959636
has_goaf,-0.0009319967321112955,0.0012951524207367986,0.997737012215096,20,-0.00010345609327171732,-0.0017605373709508737
room_width_m,-0.0011143751772181298,0.004061633748951438,0.8825955168093347,20,0.001483951141142277,-0.0037127014955785366
overburden_lithology,-0.0013190623565078163,0.001646689880723229,0.9990066952362006,20,-0.0002656346178877328,-0.0023724900951279
recovery_rate,-0.00160996886098681,0.003500809307005229,0.9731426425502436,20,0.0006295843632055621,-0.0038495220851791825
stability_class,-0.0017620713571597669,0.0021463943543780883,0.9991889077963777,20,-0.0003889704609993086,-0.0031351722533202253
seam_thickness_m,-0.00265257855816915,0.0022046270966403427,0.9999828978384493,20,-0.0012422247543950064,-0.004062932361943293
mining_method,-0.003700761853693746,0.008188157921842819,0.9712145696604946,20,0.0015374027722299959,-0.008938926479617488
years_since_abandonment,-0.005248068948812956,0.004547384992943996,0.9999722343796873,20,-0.0023389956947476717,-0.008157142202878241
cum_lag_2,-0.009389123311889135,0.011865975537314529,0.9989029307962947,20,-0.0017981689232555711,-0.0169800777005227
cum_lag_5,-0.009813213927467312,0.017924687632224576,0.9878839863868415,20,0.0016536465779197432,-0.021280074432854366
cum_lag_1,-0.011919028771568575,0.013027773901628091,0.9996891724430639,20,-0.0035848435912853877,-0.020253213951851763
roll_mean_3,-0.02516568037587098,0.03397548675804745,0.9981696788001704,20,-0.003430731614099774,-0.04690062913764219
single_lag_1,-0.03628098375861214,0.020016631494909214,0.9999999311130253,20,-0.023475855666604484,-0.0490861118506198
